"GEOID","INTPTLAT","INTPTLON"
"22011",30.6477885821779,-93.3435384440023
"22029",31.4423863349477,-91.6452916620382
"22031",32.0532980215216,-93.739662381362
"22033",30.537027950032,-91.095398652225
"22047",30.2578474293118,-91.3470915584846
"22071",30.0719197698666,-89.9294475546692
"22081",32.09590592614,-93.3473220159509
"22099",30.1260330018606,-91.6077081979649
"22119",32.7128589708023,-93.3342881892337
"23013",44.157836775499,-69.2068660439805
"23015",44.073288855942,-69.5395503067614
"24003",39.0056871641007,-76.607757952219
"18103",40.7694003310389,-86.0452490590914
"18129",38.0190271007638,-87.8617114885187
"18147",38.0149456246033,-87.0029760269319
"19001",41.3307560884543,-94.4710587413158
"19045",41.8971522620053,-90.5309369800392
"19083",42.3835387678061,-93.2365461133696
"19111",40.6389363180319,-91.4823098175009
"31167",41.9169835046976,-97.1939470829226
"34003",40.9574990328207,-74.0708468913612
"34007",39.8023855022662,-74.9589339329959
"34013",40.7801747322542,-74.2397165485855
"34023",40.4364966914626,-74.4119367638927
"34041",40.8502442579053,-74.9972196209971
"35007",36.6058784735544,-104.646822627723
"35011",34.3427452867737,-104.411784150412
"35051",33.1308219695282,-107.1910650141
"36013",42.228389628116,-79.3676878716789
"36029",42.7653352328012,-78.7308133526254
"36043",43.4201118421236,-74.962541932381
"36045",44.052677151272,-75.9212505348008
"36047",40.6446947214426,-73.9445514999338
"36053",42.9150701589788,-75.6715828777535
"36065",43.242657789615,-75.4324329460441
"36077",42.6371870048916,-75.0300715043599
"36081",40.6969804602437,-73.8273115396491
"36091",43.1100375123635,-73.864756017113
"36115",43.3107449646633,-73.4297883777092
"37007",34.9705904837409,-80.1024617478257
"37027",35.9537775433323,-81.5475184276596
"37039",35.1329022635589,-84.0599943655401
"37049",35.1223231300402,-77.0934616164768
"37055",35.7777763291724,-75.832602506891
"37059",35.9258339812818,-80.548779297537
"37069",36.0826308917087,-78.2852469931653
"37083",36.2569673751967,-77.6541428486598
"37091",36.3583675504424,-76.9802551836864
"37093",35.0190070573255,-79.2373068568213
"37099",35.2870986404584,-83.1395602661991
"37111",35.6801612293064,-82.0473920421432
"37117",35.8425580402648,-77.1061296923834
"37127",35.9690313631982,-77.9827222933448
