county_fips,per_dem_2020,per_gop_2020
36001,0.6429000756170545,0.33013630458808096
36003,0.2894472361809045,0.67647762622637
36005,0.8218659155085928,0.15666086184288122
36007,0.5028130147389137,0.4684792607012215
36009,0.3392255411502656,0.6326746244788395
36011,0.4393090315560392,0.5307943416757345
36013,0.386264012046177,0.5831186213819642
36015,0.41892674573795674,0.5520384780035759
36017,0.3698086273810055,0.6014185662666726
36019,0.5153071246176727,0.4633947863175913
36021,0.569743718733406,0.40423688549788994
36023,0.4736433400328887,0.4928284304768865
36025,0.3962468579353385,0.5801768223975037
36027,0.5362007781998697,0.44026888056409613
36029,0.5603634327278219,0.41428772177093753
36031,0.5108885464817668,0.4610169491525424
36033,0.4764675592173018,0.49783728115345005
36035,0.3294699235626454,0.6388334995014955
36037,0.32703611837858043,0.6413645475858788
36039,0.40860979462875197,0.5636255924170616
36041,0.33763255947262827,0.6377185439954142
36043,0.3361637347767253,0.6383626522327469
36045,0.39219107616306736,0.5807745473498153
36047,0.764151763402073,0.2203133488341772
36049,0.29334151580239337,0.6822644983123658
36051,0.39414329037149354,0.5743618903209502
36053,0.4321193019319442,0.5372088951146909
36055,0.5886482102952029,0.37982106863381654
36057,0.3754589099124541,0.5998776240233455
36059,0.5369997927865335,0.4424833653633888
36061,0.8597600530364055,0.12144909146641385
36063,0.4389315888848626,0.5346632845726927
36065,0.4087378067967275,0.5622640025173065
36067,0.5893179908861791,0.3844903812699948
36069,0.48306565698593656,0.48329866023133894
36071,0.48864141253858806,0.4904417068174605
36073,0.3050671617341924,0.6621164136726002
36075,0.3854554072777656,0.585903886822723
36077,0.45973142472451545,0.5095843815327924
36079,0.45108283018185763,0.5293575328102968
36081,0.7162233259240426,0.26767216531696747
36083,0.512355869037793,0.45646682174032666
36085,0.4176109114773358,0.5659502797167495
36087,0.5007365521432676,0.4834556516339567
36089,0.4277067179181302,0.5436189718779685
36091,0.5126763305280182,0.45902093503848573
36093,0.5633382417320014,0.40780833366498187
36095,0.33807716635041113,0.6263757115749525
36097,0.3983059495866925,0.573629962241045
36099,0.43987784705433264,0.5299020231581626
36101,0.3394530914094075,0.6336314386447673
36103,0.4855669191702611,0.49588653567795304
36105,0.4408801093020608,0.5312820220881248
36107,0.38275725069527217,0.5876440206595153
36109,0.7300859972202919,0.24096594857539957
36111,0.5905664221678891,0.38294621026894865
36113,0.4847502335549816,0.48631642578447
36115,0.4092936013590034,0.5641633635334088
